hosp_date,age_group,new_hosp
2021-07-17,00-04,2
2021-07-17,00+,599
2021-07-17,05-14,6
2021-07-17,15-34,94
2021-07-17,35-59,262
2021-07-17,60-79,164
2021-07-17,80+,71
2021-07-18,00-04,11
2021-07-18,00+,560
2021-07-18,05-14,2
2021-07-18,15-34,115
2021-07-18,35-59,192
2021-07-18,60-79,189
2021-07-18,80+,51
2021-07-19,00-04,10
2021-07-19,00+,576
2021-07-19,05-14,2
2021-07-19,15-34,81
2021-07-19,35-59,244
2021-07-19,60-79,150
2021-07-19,80+,89
2021-07-20,00-04,25
2021-07-20,00+,840
2021-07-20,05-14,20
2021-07-20,15-34,156
2021-07-20,35-59,340
2021-07-20,60-79,195
2021-07-20,80+,104
2021-07-21,00-04,22
2021-07-21,00+,917
2021-07-21,05-14,11
2021-07-21,15-34,175
2021-07-21,35-59,383
2021-07-21,60-79,216
2021-07-21,80+,110
2021-07-22,00-04,10
2021-07-22,00+,788
2021-07-22,05-14,10
2021-07-22,15-34,186
2021-07-22,35-59,259
2021-07-22,60-79,175
2021-07-22,80+,148
2021-07-23,00-04,17
2021-07-23,00+,673
2021-07-23,05-14,17
2021-07-23,15-34,155
2021-07-23,35-59,265
2021-07-23,60-79,156
2021-07-23,80+,63
2021-07-24,00-04,10
2021-07-24,00+,650
2021-07-24,05-14,10
2021-07-24,15-34,157
2021-07-24,35-59,235
2021-07-24,60-79,173
2021-07-24,80+,65
2021-07-25,00-04,28
2021-07-25,00+,569
2021-07-25,05-14,5
2021-07-25,15-34,132
2021-07-25,35-59,196
2021-07-25,60-79,124
2021-07-25,80+,84
2021-07-26,00-04,33
2021-07-26,00+,666
2021-07-26,05-14,10
2021-07-26,15-34,152
2021-07-26,35-59,223
2021-07-26,60-79,151
2021-07-26,80+,97
2021-07-27,00-04,12
2021-07-27,00+,897
2021-07-27,05-14,13
2021-07-27,15-34,249
2021-07-27,35-59,346
2021-07-27,60-79,191
2021-07-27,80+,86
2021-07-28,00-04,10
2021-07-28,00+,619
2021-07-28,05-14,7
2021-07-28,15-34,139
2021-07-28,35-59,241
2021-07-28,60-79,137
2021-07-28,80+,85
2021-07-29,00-04,17
2021-07-29,00+,587
2021-07-29,05-14,10
2021-07-29,15-34,135
2021-07-29,35-59,218
2021-07-29,60-79,121
2021-07-29,80+,86
2021-07-30,00-04,20
